Name,WaferIDOperator,Date,Testsite,Maskset,DieRow,DieColumn,AnalysisWavelength,I at 1V [A],I at -1V [A]
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 16:16:07 2019,DCM_LMZO,LION1,-1,-1,1310.0,-1.333762e-10,-1.17707e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 16:49:52 2019,DCM_LMZO,LION1,-1,-3,1310.0,-1.283487e-10,-1.184192e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 22:28:08 2019,DCM_LMZO,LION1,-1,3,1310.0,-1.271337e-10,-1.196762e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 19:38:57 2019,DCM_LMZO,LION1,-3,-3,1310.0,-1.252065e-10,-1.205979e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 18:31:25 2019,DCM_LMZO,LION1,-3,0,1310.0,-1.257093e-10,-1.227765e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 23:01:58 2019,DCM_LMZO,LION1,-3,2,1310.0,-1.353872e-10,-1.130561e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 19:05:12 2019,DCM_LMZO,LION1,-4,-1,1310.0,-1.222319e-10,-1.203047e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 20:12:54 2019,DCM_LMZO,LION1,0,-4,1310.0,-1.327059e-10,-1.223995e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 15:42:19 2019,DCM_LMZO,LION1,0,0,1310.0,-1.300665e-10,-1.200114e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 17:57:34 2019,DCM_LMZO,LION1,0,2,1310.0,-1.291028e-10,-1.209331e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 17:23:43 2019,DCM_LMZO,LION1,2,-1,1310.0,-1.283068e-10,-1.228184e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 20:46:39 2019,DCM_LMZO,LION1,2,-3,1310.0,-1.277203e-10,-1.191315e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 21:54:19 2019,DCM_LMZO,LION1,2,2,1310.0,-1.300245e-10,-1.204304e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Fri May 31 21:20:29 2019,DCM_LMZO,LION1,3,0,1310.0,-1.334181e-10,-1.218548e-10
MZMOTE_LULAB_380_500,D24,magdzi83,Mon Jun 03 23:00:49 2019,DCM_LMZO,LION1,-1,-1,1310.0,-0.004221569,3.047158e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Mon Jun 03 23:09:16 2019,DCM_LMZO,LION1,-1,-3,1310.0,-0.002944735,2.998289e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Tue Jun 04 00:33:52 2019,DCM_LMZO,LION1,-1,3,1310.0,-0.004511872,2.330585e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Mon Jun 03 23:51:33 2019,DCM_LMZO,LION1,-3,-3,1310.0,-0.00192262,2.549133e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Mon Jun 03 23:34:39 2019,DCM_LMZO,LION1,-3,0,1310.0,-0.003493654,2.656578e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Tue Jun 04 00:42:19 2019,DCM_LMZO,LION1,-3,2,1310.0,-0.004335667,2.258531e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Mon Jun 03 23:43:07 2019,DCM_LMZO,LION1,-4,-1,1310.0,-0.00227457,2.633351e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Tue Jun 04 00:00:00 2019,DCM_LMZO,LION1,0,-4,1310.0,-0.002145134,2.544434e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Mon Jun 03 22:52:23 2019,DCM_LMZO,LION1,0,0,1310.0,-0.005187034,3.055918e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Mon Jun 03 23:26:10 2019,DCM_LMZO,LION1,0,2,1310.0,-0.003622514,2.787125e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Mon Jun 03 23:17:44 2019,DCM_LMZO,LION1,2,-1,1310.0,-0.004256894,2.901249e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Tue Jun 04 00:08:26 2019,DCM_LMZO,LION1,2,-3,1310.0,-0.004634428,2.511984e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Tue Jun 04 00:25:25 2019,DCM_LMZO,LION1,2,2,1310.0,-0.004386544,2.305046e-07
MZMOTE_LULAB_380_500,D24,magdzi83,Tue Jun 04 00:16:57 2019,DCM_LMZO,LION1,3,0,1310.0,-0.004200758,2.369815e-07
