Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength,Rsq of Ref. spectrum,Max transmission of Ref. spec. (dB),Rsq of IV,I at -2V,I at -1V,I at 1V
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:15:38 2019,process LMZ,B2,ykim,-1,-1,0,No Error,1550.0,0.9984328807151935,-7.890923976898193,0.9999999999771443,3.286373e-08,2.603237e-08,-0.006701705
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:21:45 2019,process LMZ,B2,ykim,-1,-3,0,No Error,1550.0,0.9972268542956657,-8.942204475402832,0.9999999999452517,7.319194e-08,4.890819e-08,-0.006328398
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:22:17 2019,process LMZ,B2,ykim,-1,3,0,No Error,1550.0,0.9971718117429582,-9.532837867736816,0.9999999999517132,6.794039e-08,4.591942e-08,-0.006375596
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:51:42 2019,process LMZ,B2,ykim,-3,-3,0,No Error,1550.0,0.9961623080957142,-8.288735389709473,0.999999999936015,8.567662e-08,5.465495e-08,-0.006316235
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:39:43 2019,process LMZ,B2,ykim,-3,0,0,No Error,1550.0,0.9981042692958356,-8.8890962600708,0.9999999999501328,7.128506e-08,4.814727e-08,-0.006532866
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:28:35 2019,process LMZ,B2,ykim,-3,2,0,No Error,1550.0,0.9988757995557581,-9.468122482299805,0.9999999999153972,1.076673e-07,6.663287e-08,-0.006519705
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:45:43 2019,process LMZ,B2,ykim,-4,-1,0,No Error,1550.0,0.9951026785586441,-9.601628303527832,0.9999999998842852,1.279854e-07,7.783068e-08,-0.006401758
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:57:51 2019,process LMZ,B2,ykim,0,-4,0,No Error,1550.0,0.9971871025392915,-9.756722450256348,0.9999999998994636,1.09973e-07,6.760271e-08,-0.006039913
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:09:27 2019,process LMZ,B2,ykim,0,0,0,No Error,1550.0,0.9985872628138168,-7.688766956329346,0.999999999994212,1.066845e-08,8.955287e-09,-0.006707282
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:33:43 2019,process LMZ,B2,ykim,0,2,0,No Error,1550.0,0.9973775331882231,-8.074721336364746,0.99999999995992,5.963477e-08,4.150557e-08,-0.006591849
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:27:43 2019,process LMZ,B2,ykim,2,-1,0,No Error,1550.0,0.9983001487891974,-8.234341621398926,0.9999999999518732,6.834238e-08,4.594612e-08,-0.006384568
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:03:55 2019,process LMZ,B2,ykim,2,-3,0,No Error,1550.0,0.9982119327489479,-9.488846778869629,0.9999999999149245,1.001067e-07,6.184592e-08,-0.006069297
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:15:53 2019,process LMZ,B2,ykim,2,2,0,No Error,1550.0,0.996779584824094,-8.256845474243164,0.9999999999442967,7.171057e-08,4.804727e-08,-0.006130083
